구분,연도,합 계(억원),전년대비증감률,온라인복권(억원),즉석식인쇄복권(억원),추첨식결합복권(억원),전자복권(억원)
발행액,2008,27398,0.02,22784,1200,2340,1074
발행액,2009,28301,0.033,23572,1200,2340,1189
발행액,2010,27797,-0.0178,24316,1500,1080,901
발행액,2011,32948,0.1853,27783,1400,2808,957
발행액,2012,34056,0.0336,28399,1600,3276,781
발행액,2013,35555,0.044,29896,1600,3276,783
발행액,2014,36304,0.0211,30489,1800,3276,739
발행액,2015,38841,0.0699,32571,2200,3276,794
발행액,2016,41996,0.0812,35660,2200,3276,860
발행액,2017,44353,0.0561,37974,2200,3276,904
발행액,2018,46668,0.0522,39687,2700,3276,1005
발행액,2019,50587,0.084,43181,3300,3276,829
발행액,2020,57451,0.1357,47370,4550,4534,997
판매액,2008,23940,0.006,22784,465,156,535
판매액,2009,24712,0.0322,23572,447,139,554
판매액,2010,25255,0.022,24316,549,76,314
판매액,2011,30805,0.2198,27783,687,1796,539
판매액,2012,31854,0.0341,28399,806,2146,502
판매액,2013,32340,0.0153,29896,885,1224,335
판매액,2014,32827,0.0151,30489,1123,973,242
판매액,2015,35551,0.083,32571,1697,965,319
판매액,2016,38855,0.0929,35660,1802,981,412
판매액,2017,41538,0.0691,37974,2049,1004,512
판매액,2018,43848,0.0556,39687,2466,1040,655
판매액,2019,47933,0.0932,43181,3103,1029,619
판매액,2020,54152,0.1297,47370,3688,2255,839
판매액,2021,59753,0.1034,51371,4416,2913,1053
판매액,2022,64292,0.076,54468,5679,2930,1216
판매액,2023,67507,0.05,56526,6580,3151,1251
판매액,2024,73349,0.087,59562,8947,3417,1424
