순번,상호,지역,1등 자동 당첨 건수
1,일등복권편의점,대구 달서구,5
2,오케이상사,서울 서초구,3
3,세진전자통신,대구 서구,2
4,라이프마트,인천 중구,2
5,스파,서울 노원구,2
6,노다지복권방,인천 미추홀구,2
7,흥부네박터졌네,인천 계양구,2
8,오천억복권방,광주 서구,2
9,해피+24시편의점,광주 북구,2
10,토큰박스,경기 남양주시,2
11,동명슈퍼,강원 속초시,2
12,필로또복권,충남 서산시,2
13,또또복권방,전북 익산시,2
14,Letsgo복권유통,전북 전주시,2
15,알리바이(나주점),전남 나주시,2
16,목화휴게소,경남 사천시,2
17,탑로또,경남 거제시,2
18,로또명당목련,제주 제주시,2
19,GS25(대구교대점),대구 남구,2
20,GS25(천안성지점),충남 천안시,2
21,인터넷 복권판매사이트,서울 서초구,1
22,로또복권,경북 김천시,1
23,토큰판매소,서울 송파구,1
24,잠실매점,서울 송파구,1
25,우정식품,부산 동래구,1
26,로또온천장점,부산 동래구,1
27,서재강변로또,대구 달성군,1
28,천국열쇠,광주 북구,1
29,알리바이,광주 광산구,1
30,웅진,경기 수원시,1
31,동문그린복권방,경기 파주시,1
32,대박복권방,경기 연천군,1
33,흥양마중물,강원 원주시,1
34,선경로또,충북 제천시,1
35,썬마트,충북 청주시,1
36,로또명당해미점,충남 서산시,1
37,CU(거제해금강),경남 거제시,1
38,다모아복권방,서울 구로구,1
39,다모아복권,서울 구로구,1
40,복권방,서울 구로구,1
41,노다지 노원역점 복권방,서울 노원구,1
42,노다지복권방,서울 양천구,1
43,복권나라,서울 중랑구,1
44,복권명당,서울 동작구,1
45,포인트,서울 강동구,1
46,삼정그린환경,서울 강동구,1
47,복권방,서울 광진구,1
48,월드24시,서울 은평구,1
49,국민슈퍼,서울 도봉구,1
50,일등복권방,서울 동대문구,1
51,쎄븐타임,서울 용산구,1
52,종합가판제141호,서울 중구,1
53,행복편의점,서울 구로구,1
54,종합가판점,서울 동대문구,1
55,가판점,서울 중구,1
56,우리은행금호동지점앞가판,서울 성동구,1
57,가판점(신문),서울 영등포구,1
58,교통카드판매대,서울 영등포구,1
59,가판점,서울 서초구,1
60,로또복권판매소,서울 마포구,1
61,가판점,서울 서대문구,1
62,가로판매점,서울 서대문구,1
63,버스카드판매대,서울 관악구,1
64,교통카드충전소,서울 금천구,1
65,자양사거리가로매점,서울 광진구,1
66,킹부대찌개 테이크아웃 신설동점,서울 종로구,1
67,애니콜플라자,서울 구로구,1
68,헬로마트,서울 도봉구,1
69,윈마트,서울 송파구,1
70,스타복권방(스타문구),서울 서대문구,1
71,영광정보통신,서울 성북구,1
72,평안당,서울 종로구,1
73,가판대20호,서울 송파구,1
74,그랜드마트앞가판점,서울 마포구,1
75,명당마트,서울 강서구,1
76,로또,서울 강서구,1
77,명당복권방,서울 동작구,1
78,한누리,서울 동작구,1
79,신천대로점,서울 송파구,1
80,가로판매점,서울 송파구,1
81,로또,서울 중구,1
82,행운복권방,서울 도봉구,1
83,명당복권,서울 은평구,1
84,코코마켓,서울 강서구,1
85,미나식품(로또판매점),서울 강서구,1
86,교통카드판매대,서울 송파구,1
87,엘도라도복권점문점,서울 광진구,1
88,스포츠베팅샵,서울 서초구,1
89,가판 창동역점,서울 도봉구,1
90,세븐일레븐강서화곡예스점,서울 강서구,1
91,복권천국,서울 성동구,1
92,슈퍼복권나라,부산 부산진구,1
93,다복슈퍼,부산 수영구,1
94,대원슈퍼마켓,부산 수영구,1
95,성광복권명당,부산 연제구,1
96,남경슈퍼,부산 연제구,1
97,이마트24 광안리굿-7,부산 수영구,1
98,청솔서점,부산 사하구,1
99,영재서적해강점,부산 해운대구,1
100,동일통신,부산 해운대구,1
101,터서점,부산 동래구,1
102,범일서적,부산 동구,1
103,하단복권,부산 사하구,1
104,화랑복권,부산 부산진구,1
105,노다지복권방,부산 북구,1
106,복권천국,부산 남구,1
107,황금돼지복권방,부산 연제구,1
108,경동플러스,부산 해운대구,1
109,복권명당(서부점),대구 달서구,1
110,복권명당,대구 동구,1
111,승차권판매소(북비산점),대구 서구,1
112,토큰박스7호광장점,대구 달서구,1
113,왕대박복권,대구 달성군,1
114,LA24시편의점,대구 달서구,1
115,씨유송도프라자,인천 연수구,1
116,드림복권방,인천 중구,1
117,미니스톱인천효성점,인천 계양구,1
118,한국인세계대박복권,인천 연수구,1
119,만복래,인천 부평구,1
120,로또복권판매소,인천 계양구,1
121,초이스편의점,인천 남동구,1
122,더드림로또,인천 미추홀구,1
123,하영,인천 서구,1
124,운수대통,인천 부평구,1
125,연우로또,인천 계양구,1
126,1등 복권,인천 부평구,1
127,대박천하마트,인천 부평구,1
128,아스타,광주 서구,1
129,우미슈퍼,광주 서구,1
130,자유마켓,광주 서구,1
131,지산로또방,광주 동구,1
132,로또플러스24,광주 광산구,1
133,타운복권방,광주 북구,1
134,금집복권,광주 북구,1
135,행운복권방,광주 광산구,1
136,염주현대토토,광주 서구,1
137,천하명당복권방역전점,대전 동구,1
138,복권전문점,대전 유성구,1
139,태양마트,대전 유성구,1
140,복권명당,대전 서구,1
141,힐링로또,대전 대덕구,1
142,복권로또판매점,대전 동구,1
143,로또기업,대전 동구,1
144,베스토아(용전2호),대전 동구,1
145,주공24시편의방,대전 동구,1
146,대일슈퍼,대전 서구,1
147,지에스25 울산동구남목점,울산 동구,1
148,수암완구,울산 남구,1
149,씨유태화루점(꿈샘),울산 중구,1
150,부자로또,울산 남구,1
151,GS로또(호계수성),울산 북구,1
152,셀피아,울산 북구,1
153,참조은 복권,울산 중구,1
154,모닝마트,울산 남구,1
155,세종로또방,세종,1
156,복권전문점,경기 수원시,1
157,경인유통,경기 광명시,1
158,천하명당복권방,경기 수원시,1
159,복권세상,경기 여주시,1
160,복권백화점,경기 여주시,1
161,육사구(6/49)복권방,경기 용인시,1
162,운수대통,경기 수원시,1
163,황금복권방,경기 안양시,1
164,동행복권방,경기 의정부시,1
165,행복충전소,경기 평택시,1
166,마리오슈퍼,경기 부천시,1
167,대박,경기 고양시,1
168,공원슈퍼,경기 수원시,1
169,월드컵,경기 수원시,1
170,차부상회,경기 김포시,1
171,역전광장상회,경기 파주시,1
172,역전슈퍼,경기 의정부시,1
173,복권세상,경기 의정부시,1
174,행복미니슈퍼,경기 부천시,1
175,성진마트,경기 부천시,1
176,행운복권,경기 의정부시,1
177,사격장매표소,경기 시흥시,1
178,버스표판매소,경기 고양시,1
179,마두역상행선 가판대,경기 고양시,1
180,가두판매점,경기 안양시,1
181,로또명당가두판매점,경기 안양시,1
182,드림테크,경기 부천시,1
183,영스타,경기 평택시,1
184,꿈과희망의복권방,경기 부천시,1
185,로또복권방,경기 가평군,1
186,수내행운복권방,경기 성남시,1
187,로또삼성복권방,경기 수원시,1
188,로또휴게실,경기 용인시,1
189,삼천리자전거,경기 고양시,1
190,인더라인 정발산점,경기 고양시,1
191,한일로또나라,경기 수원시,1
192,플러스원,경기 수원시,1
193,인덕원복권방,경기 안양시,1
194,행운복권방,경기 의정부시,1
195,파크애비뉴,경기 화성시,1
196,행운복권방,경기 성남시,1
197,드림,경기 수원시,1
198,로또복권,경기 안산시,1
199,대선세무경영사무소,경기 안산시,1
200,순살로복권,경기 의왕시,1
201,복돼지복권방,경기 화성시,1
202,기쁨누리복권,경기 고양시,1
203,로또판매점,경기 고양시,1
204,행운마트,경기 고양시,1
205,나눔로또한대점,경기 안산시,1
206,㈜현대택배권선영업소,경기 수원시,1
207,복권사랑,경기 가평군,1
208,25편의점,경기 광주시,1
209,백석상회,경기 양주시,1
210,대박복권,경기 부천시,1
211,복권판매점,경기 파주시,1
212,동행행운lotto방,경기 화성시,1
213,한아름 복권판매점,경기 광주시,1
214,아이지에이마트 부천심곡본점,경기 부천시,1
215,세븐일레븐남양주차산점,경기 남양주시,1
216,유방매표소,경기 용인시,1
217,소망점,경기 용인시,1
218,드래곤복권,경기 용인시,1
219,축복큰대운집,경기 파주시,1
220,행운복권방,경기 안성시,1
221,금강복권,경기 김포시,1
222,고양행복복권,경기 고양시,1
223,픽미 픽미 아이스크림,경기 구리시,1
224,당첨희망복권점,경기 이천시,1
225,잉크와복권,경기 광명시,1
226,노다지복권방,경기 김포시,1
227,드림메드,경기 안산시,1
228,ALWAYSMART,경기 고양시,1
229,금호마트,경기 구리시,1
230,대박천국,경기 부천시,1
231,대한복권,경기 부천시,1
232,천하명당,경기 시흥시,1
233,천하명당,경기 안양시,1
234,용꿈돼지꿈복권전문점,강원 동해시,1
235,복권천하 미스터잉크동해점,강원 동해시,1
236,세븐일레븐삼척삼원점,강원 삼척시,1
237,제일복권,강원 춘천시,1
238,희망로또,강원 춘천시,1
239,국가대표복권방,강원 영월군,1
240,퇴계로또,강원 춘천시,1
241,우두로또,강원 춘천시,1
242,진평양행,강원 강릉시,1
243,돈벼락복권,강원 태백시,1
244,승일유통,충북 청주시,1
245,행운을주는사람들,충북 충주시,1
246,혹시나도,충북 음성군,1
247,로또스튜디오,충북 청주시,1
248,은성로또,충북 음성군,1
249,명당복권방,충북 청주시,1
250,홈짱,충북 청주시,1
251,로또판매점,충북 청주시,1
252,쿡쿡로또명당,충북 옥천군,1
253,팡팡복권방,충북 진천군,1
254,대박행운복권방,충남 아산시,1
255,푸른로또,충남 당진시,1
256,왕대박복권,충남 논산시,1
257,복권나라,충남 계룡시,1
258,대박로또명당,충남 당진시,1
259,둔포로 로또방,충남 아산시,1
260,돼지복권방,충남 부여군,1
261,천안역로또토토복권방,충남 천안시,1
262,충청복권전문점,충남 천안시,1
263,노다지복권방,충남 천안시,1
264,여기있었네복권방,전북 김제시,1
265,부자복권방,전북 군산시,1
266,동남슈퍼,전북 부안군,1
267,자수정슈퍼,전북 전주시,1
268,행운복권방 보생당건강원,전북 익산시,1
269,로또복권판매도통점,전북 남원시,1
270,복조리복권방,전북 장수군,1
271,대박로또방,전북 장수군,1
272,현대장미슈퍼,전북 익산시,1
273,베스트올수성점,전북 정읍시,1
274,여수동서상사,전남 여수시,1
275,금진슈퍼,전남 여수시,1
276,용미사진관(로또),전남 순천시,1
277,우리로또복권방,전남 여수시,1
278,순천복권랜드,전남 순천시,1
279,대광복권방,전남 화순군,1
280,금성복권방,전남 나주시,1
281,진도로또,전남 진도군,1
282,영암로또복권,전남 영암군,1
283,하당복권방,전남 목포시,1
284,도깨비방망이,전남 완도군,1
285,토토복권장흥점,전남 장흥군,1
286,성심상회,경북 포항시,1
287,이마트24구미황상점,경북 구미시,1
288,로또복권애니타임점,경북 구미시,1
289,로또기획,경북 안동시,1
290,로또복권,경북 포항시,1
291,로또복권,경북 군위군,1
292,로또복권4공단점,경북 구미시,1
293,로또혁신점,경북 김천시,1
294,씨스페이스(석적 남율리점),경북 칠곡군,1
295,왕대박복권방,경북 문경시,1
296,통영 동피랑점,경남 통영시,1
297,로또통신,경남 김해시,1
298,복권파는집,경남 창원시,1
299,이마트24 홍문점,경남 창원시,1
300,경일통신,경남 창원시,1
301,로또복권,경남 창원시,1
302,로또복권방,경남 창원시,1
303,명당로또,경남 창원시,1
304,로또명당,경남 창원시,1
305,대박상사,경남 창원시,1
306,진교로또복권판매점,경남 하동군,1
307,진양호,경남 진주시,1
308,빙그레 돈벼락 맞는곳,경남 김해시,1
309,블루25복권명당대원점,경남 창원시,1
310,복슈퍼,경남 김해시,1
311,은정슈퍼,경남 창원시,1
312,코리아슈퍼,경남 통영시,1
313,천하명당복권,제주,1
314,제주대림점,제주,1
315,성자점빵,제주,1
316,CU(수유대로점),서울 강북구,1
317,GS25(삼성역점),서울 강남구,1
318,CU(포레스트힐점),서울 종로구,1
319,씨스페이스(죽림점),부산 강서구,1
320,GS25(부산미남점),부산 동래구,1
321,GS25(수영광안점),부산 수영구,1
322,CU(입석강변점),대구 동구,1
323,씨스페이스(주안1-2),인천 미추홀구,1
324,GS25(계산동경점),인천 계양구,1
325,GS25(인천관교점),인천 미추홀구,1
326,GS25(수원행복점),경기 수원시,1
327,CU(강릉내곡점),강원 강릉시,1
328,GS25(청주수곡점),충북 청주시,1
329,GS25(천안시민점),충남 천안시,1
330,GS25(양산혜인점),경남 양산시,1
